index_train,similarity
30702 24450 25936 18277 28089 17080 3 35092 34920 17980 4202 8193 38796 25355 34690 ,0.1347517730496454 0.1346153846153846 0.13392857142857142 0.13333333333333333 0.13008130081300814 0.1282051282051282 0.12745098039215685 0.12727272727272726 0.1267605633802817 0.12631578947368421 0.12612612612612611 0.125 0.12380952380952381 0.12264150943396226 0.12195121951219512 
25355 32081 17649 28688 39642 1264 10166 26136 33032 9852 35320 24617 972 37750 35776 ,0.12837837837837837 0.12796208530805686 0.12790697674418605 0.12757201646090535 0.12669683257918551 0.12658227848101267 0.12637362637362637 0.12582781456953643 0.125 0.12437810945273632 0.12403100775193798 0.1232876712328767 0.12222222222222222 0.12209302325581395 0.12142857142857143 
17694 4298 32740 2129 35426 16154 15953 15352 16338 38463 7490 12457 2258 11808 8636 ,1.0 0.125 0.11864406779661017 0.1111111111111111 0.11009174311926606 0.11 0.10909090909090909 0.10666666666666667 0.1016949152542373 0.1 0.09782608695652174 0.09782608695652174 0.0967741935483871 0.0967741935483871 0.0958904109589041 
7294 27558 24896 31640 18015 38241 20469 37878 11527 6580 14530 15421 39658 23300 27335 ,0.15065502183406113 0.14105793450881612 0.13963039014373715 0.1377245508982036 0.13278008298755187 0.13219616204690832 0.1320754716981132 0.13043478260869565 0.12928759894459102 0.1262135922330097 0.12615384615384614 0.1234866828087167 0.12315270935960591 0.12299465240641712 0.12286689419795221 
288 16707 34823 7029 24907 22471 20366 35329 25012 28248 33029 34935 3541 10395 3147 ,0.1360544217687075 0.10650887573964497 0.10416666666666667 0.09868421052631579 0.0855614973262032 0.08 0.07947019867549669 0.07947019867549669 0.07913669064748201 0.07913669064748201 0.07878787878787878 0.0748663101604278 0.07317073170731707 0.07303370786516854 0.07194244604316546 
36073 12474 8832 20015 23234 26997 6660 3227 38318 34966 39448 16565 17660 1571 38531 ,0.136 0.1336405529953917 0.1278538812785388 0.12269938650306748 0.12195121951219512 0.12162162162162163 0.12041884816753927 0.11864406779661017 0.11842105263157894 0.11827956989247312 0.11616161616161616 0.11538461538461539 0.11518324607329843 0.11507936507936507 0.11458333333333333 
35468 32766 26904 8237 17541 34982 22155 23743 39416 27082 4613 27336 30202 34647 25804 ,0.14444444444444443 0.13333333333333333 0.13274336283185842 0.13253012048192772 0.13125 0.12994350282485875 0.12987012987012986 0.12883435582822086 0.12849162011173185 0.12837837837837837 0.12626262626262627 0.125 0.125 0.125 0.124 
2429 34497 16176 6984 8163 12375 27082 33581 22744 29790 6836 4803 16132 27719 38197 ,0.1048951048951049 0.10434782608695652 0.1016949152542373 0.10101010101010101 0.10067114093959731 0.0975609756097561 0.096 0.09482758620689655 0.09467455621301775 0.0945945945945946 0.09448818897637795 0.09401709401709402 0.09375 0.0935672514619883 0.09278350515463918 
24561 15149 9447 16752 36027 14173 14048 21955 32525 16031 11717 22283 35916 9559 18013 ,0.1589041095890411 0.13695652173913042 0.1357615894039735 0.1320754716981132 0.1318181818181818 0.13140311804008908 0.13106796116504854 0.13068181818181818 0.13053613053613053 0.13043478260869565 0.12979351032448377 0.12978723404255318 0.12953367875647667 0.1289308176100629 0.1286549707602339 
13742 9219 6863 19510 24048 24562 8611 1608 11278 34869 22847 30099 21037 6366 16146 ,1.0 0.1044776119402985 0.10071942446043165 0.09644670050761421 0.096 0.09448818897637795 0.08854166666666667 0.0875 0.0875 0.0875 0.0872093023255814 0.08588957055214724 0.08536585365853659 0.08461538461538462 0.08450704225352113 
6083 23663 29652 8379 25359 34587 1444 37628 15067 16287 6518 19192 37661 2632 6690 ,0.16346153846153846 0.15966386554621848 0.1588785046728972 0.1568627450980392 0.1559633027522936 0.1559633027522936 0.1553398058252427 0.15517241379310345 0.15454545454545454 0.15384615384615385 0.15254237288135594 0.1523809523809524 0.15178571428571427 0.15151515151515152 0.15151515151515152 
32941 22058 12294 26863 21224 20459 12328 12632 4006 20162 30530 27784 35717 12222 20446 ,0.14953271028037382 0.14035087719298245 0.13953488372093023 0.13392857142857142 0.13333333333333333 0.13138686131386862 0.13131313131313133 0.1308411214953271 0.1282051282051282 0.1271186440677966 0.12686567164179105 0.12666666666666668 0.12612612612612611 0.125 0.125 
16474 8344 33013 4174 39415 26570 15123 30883 29138 38070 11545 30450 1418 33462 27277 ,0.11560693641618497 0.11379310344827587 0.1095890410958904 0.10666666666666667 0.10526315789473684 0.10483870967741936 0.10416666666666667 0.1038961038961039 0.1016949152542373 0.1015625 0.10071942446043165 0.1 0.09848484848484848 0.09774436090225563 0.0975609756097561 
17366 1229 35151 17032 21632 18277 30927 24241 2424 20829 25814 14354 39776 24523 5578 ,0.15384615384615385 0.1282051282051282 0.12244897959183673 0.12121212121212122 0.12121212121212122 0.1206896551724138 0.11940298507462686 0.11764705882352941 0.11688311688311688 0.11627906976744186 0.11594202898550725 0.11538461538461539 0.11428571428571428 0.11363636363636363 0.1111111111111111 
21112 25206 31748 27902 17737 22487 38116 39683 13412 20932 28970 39987 637 13075 30220 ,0.15625 0.14864864864864866 0.14444444444444443 0.14285714285714285 0.14102564102564102 0.14102564102564102 0.13924050632911392 0.13924050632911392 0.1375 0.1375 0.1375 0.13592233009708737 0.13580246913580246 0.13580246913580246 0.1348314606741573 
18015 20379 14962 2830 32641 28118 21376 13358 21093 11798 32092 33517 30390 36118 12563 ,0.16179001721170397 0.15855855855855855 0.1508828250401284 0.14922813036020582 0.14922813036020582 0.1488095238095238 0.14871794871794872 0.14855072463768115 0.14837712519319937 0.1482758620689655 0.14664804469273743 0.14634146341463414 0.14606741573033707 0.14568345323741008 0.1451048951048951 
39998 35202 4522 8067 31637 38534 25119 38786 22797 9336 11751 13880 28610 36908 11187 ,0.13679245283018868 0.13063063063063063 0.1297709923664122 0.12962962962962962 0.12962962962962962 0.12804878048780488 0.12773722627737227 0.12437810945273632 0.12322274881516587 0.12269938650306748 0.12244897959183673 0.12213740458015267 0.12173913043478261 0.12149532710280374 0.12093023255813953 
3701 5378 33550 26575 3729 35402 8736 8918 5625 5855 18429 2578 3517 11955 2429 ,0.14035087719298245 0.13973799126637554 0.13768115942028986 0.13618677042801555 0.13450292397660818 0.1296928327645051 0.12886597938144329 0.12828947368421054 0.1276595744680851 0.12745098039215685 0.12738853503184713 0.12716763005780346 0.12698412698412698 0.12663755458515283 0.12631578947368421 
14319 14962 1802 38241 3671 29063 29393 10823 9525 2499 22498 27429 16810 12717 24182 ,0.18580375782881003 0.184640522875817 0.16998191681735986 0.16783216783216784 0.16666666666666666 0.16552901023890784 0.1651705565529623 0.16512059369202226 0.16468590831918506 0.16393442622950818 0.16382978723404254 0.16274089935760172 0.16216216216216217 0.16176470588235295 0.16143497757847533 
7824 18013 8202 29086 3099 13880 4318 26091 15583 33954 30318 5322 23539 23706 2252 ,0.18141592920353983 0.17204301075268819 0.17194570135746606 0.1674641148325359 0.1659919028340081 0.16423357664233576 0.16379310344827586 0.16216216216216217 0.15918367346938775 0.15918367346938775 0.15708812260536398 0.15695067264573992 0.15625 0.15510204081632653 0.15469613259668508 
2294 24140 16202 29843 19062 18311 7886 14322 25411 27093 11082 9043 16598 31557 32889 ,0.1419141914191419 0.14122137404580154 0.13010204081632654 0.1297709923664122 0.12839506172839507 0.12738853503184713 0.12649164677804295 0.1263537906137184 0.12560386473429952 0.12554112554112554 0.125 0.1246684350132626 0.12465373961218837 0.12435233160621761 0.12371134020618557 
2919 37584 32105 4642 3584 11327 37142 321 39470 24182 4052 9447 8044 17405 9860 ,0.16055045871559634 0.15878378378378377 0.15668202764976957 0.15481171548117154 0.1541501976284585 0.15384615384615385 0.15384615384615385 0.15040650406504066 0.1503267973856209 0.1474820143884892 0.14545454545454545 0.14522821576763487 0.14393939393939395 0.14342629482071714 0.14285714285714285 
23509 38719 28817 4528 12503 34679 5261 35951 13405 27940 25750 34587 6781 31186 36220 ,0.13953488372093023 0.13592233009708737 0.13157894736842105 0.12949640287769784 0.12781954887218044 0.12781954887218044 0.125 0.1232876712328767 0.12264150943396226 0.12173913043478261 0.12149532710280374 0.12149532710280374 0.12142857142857143 0.12121212121212122 0.12121212121212122 
38861 22744 26091 9447 6829 10438 19235 35034 13644 36243 24181 25894 32436 2247 16490 ,0.167420814479638 0.1596244131455399 0.15734265734265734 0.15319148936170213 0.15315315315315314 0.1517509727626459 0.15048543689320387 0.15 0.14754098360655737 0.1471861471861472 0.14682539682539683 0.14646464646464646 0.14644351464435146 0.1461187214611872 0.14545454545454545 
4150 18615 25802 4449 21276 7954 23943 10817 22337 12949 16355 7923 19698 2985 20787 ,0.10849056603773585 0.10599078341013825 0.10426540284360189 0.10382513661202186 0.09876543209876543 0.09821428571428571 0.09803921568627451 0.0967741935483871 0.0966183574879227 0.09641873278236915 0.0958904109589041 0.09574468085106383 0.09565217391304348 0.09523809523809523 0.09523809523809523 
28271 8552 4778 29282 8017 9681 30486 7840 4271 4988 25659 36912 4001 17764 28194 ,0.13991769547325103 0.11235955056179775 0.10869565217391304 0.10824742268041238 0.1073170731707317 0.10582010582010581 0.10429447852760736 0.10382513661202186 0.10273972602739725 0.10144927536231885 0.1 0.1 0.09900990099009901 0.09883720930232558 0.09852216748768473 
24115 27971 31015 22323 1447 33294 24525 5529 22198 32910 10805 29017 19195 12553 2645 ,0.08661417322834646 0.08661417322834646 0.08661417322834646 0.07258064516129033 0.07017543859649122 0.06944444444444445 0.06481481481481481 0.05970149253731343 0.05813953488372093 0.05649717514124294 0.056338028169014086 0.05521472392638037 0.05504587155963303 0.0546875 0.05426356589147287 
9354 33573 13654 17475 6518 25038 38296 15222 25340 36901 32404 39220 1898 17187 12118 ,0.125 0.12121212121212122 0.11764705882352941 0.11627906976744186 0.11570247933884298 0.11363636363636363 0.1111111111111111 0.10869565217391304 0.10869565217391304 0.10833333333333334 0.10828025477707007 0.10824742268041238 0.10778443113772455 0.10377358490566038 0.1032258064516129 
2068 13857 23607 16805 27209 3072 28795 4745 36503 4125 32436 24634 36393 29659 29380 ,0.12578616352201258 0.11764705882352941 0.10465116279069768 0.1043956043956044 0.1038961038961039 0.10227272727272728 0.10059171597633136 0.1 0.09929078014184398 0.09844559585492228 0.09813084112149532 0.09803921568627451 0.0979020979020979 0.09722222222222222 0.09716599190283401 
4991 24524 29052 4853 16598 34667 32757 6065 22132 6984 28812 18040 11971 32652 27276 ,0.18556701030927836 0.1407766990291262 0.125 0.12462908011869436 0.12429378531073447 0.1232876712328767 0.12099644128113879 0.12087912087912088 0.12015503875968993 0.11956521739130435 0.11904761904761904 0.1182108626198083 0.11764705882352941 0.11764705882352941 0.11716621253405994 
29607 20249 13116 20455 24639 10067 36992 36358 27930 15284 36036 14185 32052 12817 9371 ,0.10606060606060606 0.1009009009009009 0.09963768115942029 0.09812108559498957 0.09643605870020965 0.09619238476953908 0.09533468559837728 0.0951219512195122 0.09363295880149813 0.09361702127659574 0.09342560553633218 0.09267241379310345 0.09266409266409266 0.09263657957244656 0.09247311827956989 
8216 5591 38377 19387 25659 33556 15263 26527 24105 36357 6022 27848 13635 568 30053 ,0.15 0.1414141414141414 0.14130434782608695 0.14035087719298245 0.13821138211382114 0.13432835820895522 0.13333333333333333 0.13274336283185842 0.1308411214953271 0.13008130081300814 0.1292517006802721 0.12878787878787878 0.1282051282051282 0.12686567164179105 0.12612612612612611 
38534 39312 972 1283 6733 30510 3239 4235 1482 2551 37805 21427 9354 21029 26627 ,0.13245033112582782 0.12941176470588237 0.12849162011173185 0.12568306010928962 0.12435233160621761 0.12435233160621761 0.12359550561797752 0.12307692307692308 0.12217194570135746 0.12101910828025478 0.12101910828025478 0.12021857923497267 0.12 0.12 0.12 
14603 3787 39867 29637 26862 38886 9218 4787 6494 1372 7683 22980 36536 33443 19153 ,0.15476190476190477 0.15151515151515152 0.15151515151515152 0.14893617021276595 0.1440677966101695 0.144 0.14285714285714285 0.13725490196078433 0.13725490196078433 0.13541666666666666 0.1348314606741573 0.13131313131313133 0.12903225806451613 0.12844036697247707 0.1276595744680851 
33463 26471 34543 11742 27220 17403 26996 30548 34041 26906 28370 9024 15357 17621 31588 ,0.13357400722021662 0.13229571984435798 0.13214285714285715 0.12626262626262627 0.12217194570135746 0.1218274111675127 0.12091503267973856 0.11934156378600823 0.11688311688311688 0.11676646706586827 0.11442786069651742 0.11397058823529412 0.11320754716981132 0.11267605633802817 0.1124031007751938 
23706 9860 11856 21278 17098 26307 38120 30318 7838 37471 37606 30330 11495 36700 35698 ,0.16228070175438597 0.1484375 0.14754098360655737 0.14746543778801843 0.14689265536723164 0.14655172413793102 0.1452513966480447 0.14516129032258066 0.1449814126394052 0.14492753623188406 0.14485981308411214 0.14450867052023122 0.14423076923076922 0.14396887159533073 0.1437125748502994 
613 29652 35241 28370 4102 38546 10630 1934 5261 12430 7517 5664 26142 27338 16924 ,0.12903225806451613 0.125 0.125 0.11851851851851852 0.11811023622047244 0.11764705882352941 0.11711711711711711 0.11702127659574468 0.11607142857142858 0.11504424778761062 0.11320754716981132 0.11278195488721804 0.11206896551724138 0.112 0.1111111111111111 
33601 30548 18149 34288 37860 4832 21686 13893 4777 9860 37525 6726 4027 35902 17638 ,0.1328125 0.1220472440944882 0.121875 0.11976047904191617 0.11842105263157894 0.11805555555555555 0.11726384364820847 0.11570247933884298 0.11555555555555555 0.11510791366906475 0.11510791366906475 0.11498257839721254 0.11475409836065574 0.11400651465798045 0.11320754716981132 
22373 6905 29595 2263 21278 29122 12388 25811 30147 28089 25788 13338 33006 37066 20477 ,0.14705882352941177 0.13953488372093023 0.13793103448275862 0.1323529411764706 0.13142857142857142 0.13125 0.13043478260869565 0.13043478260869565 0.1297709923664122 0.12949640287769784 0.128 0.12781954887218044 0.12781954887218044 0.12698412698412698 0.12666666666666668 
9918 16485 10357 170 24726 27784 38560 19698 1850 16180 23239 19675 13419 37653 11 ,0.11594202898550725 0.10625 0.10493827160493827 0.10256410256410256 0.10218978102189781 0.10191082802547771 0.10084033613445378 0.1005586592178771 0.1 0.09917355371900827 0.09848484848484848 0.09836065573770492 0.09774436090225563 0.09774436090225563 0.09523809523809523 
34859 27030 36424 17047 38861 35338 26108 9297 27567 26900 25793 15713 32254 37583 25447 ,0.18421052631578946 0.1771117166212534 0.17708333333333334 0.17689530685920576 0.17551020408163265 0.17391304347826086 0.17266187050359713 0.1724137931034483 0.1684981684981685 0.16412213740458015 0.16312056737588654 0.16285714285714287 0.16279069767441862 0.1624203821656051 0.16237113402061856 
39100 24232 37135 37475 23304 15821 37142 22516 37159 38910 34159 20840 779 11599 3457 ,0.12666666666666668 0.125 0.12307692307692308 0.12138728323699421 0.12121212121212122 0.12080536912751678 0.12077294685990338 0.11851851851851852 0.11731843575418995 0.1164021164021164 0.11538461538461539 0.11483253588516747 0.11464968152866242 0.11450381679389313 0.11333333333333333 
16311 5823 31011 22797 26221 36643 30412 30484 9860 10531 20976 28515 24335 10811 18941 ,0.1497005988023952 0.14772727272727273 0.1464968152866242 0.14583333333333334 0.14556962025316456 0.14507772020725387 0.14473684210526316 0.14450867052023122 0.1440677966101695 0.14356435643564355 0.14285714285714285 0.14201183431952663 0.14184397163120568 0.140625 0.140625 
38674 20342 12607 36009 38534 5936 38775 31245 15673 33326 28865 31202 32642 16521 38302 ,0.1267605633802817 0.12658227848101267 0.1258741258741259 0.1258741258741259 0.1258741258741259 0.12435233160621761 0.12422360248447205 0.12418300653594772 0.12413793103448276 0.12413793103448276 0.12352941176470589 0.12307692307692308 0.12290502793296089 0.12258064516129032 0.12209302325581395 
52 5017 36171 32520 34672 37014 34448 29614 9213 3260 36057 8832 28932 18660 36875 ,0.13564668769716087 0.12154696132596685 0.10679611650485436 0.09748427672955975 0.09541984732824428 0.09401709401709402 0.09268292682926829 0.08888888888888889 0.08835341365461848 0.08571428571428572 0.08372093023255814 0.08363636363636363 0.08363636363636363 0.08282208588957055 0.08273381294964029 
21093 12821 15149 13877 22498 18182 6984 12020 3441 1462 32949 5157 1265 1802 32955 ,0.1494057724957555 0.1488095238095238 0.14595660749506903 0.14038128249566725 0.13975903614457832 0.139186295503212 0.1388888888888889 0.13875598086124402 0.13864306784660768 0.13846153846153847 0.13836477987421383 0.13804173354735153 0.13740458015267176 0.13690476190476192 0.1347708894878706 
15530 20344 8395 9728 34642 19788 22033 22427 11751 13457 24010 14523 18311 3254 10273 ,0.15357142857142858 0.1483050847457627 0.14285714285714285 0.1419141914191419 0.14124293785310735 0.14052287581699346 0.14049586776859505 0.14035087719298245 0.1388888888888889 0.13829787234042554 0.1377952755905512 0.13636363636363635 0.13620071684587814 0.1358695652173913 0.13551401869158877 
10593 25442 6993 8937 36449 14300 7082 33133 2370 23612 28723 34499 30773 35745 16690 ,0.14893617021276595 0.13450292397660818 0.13194444444444445 0.12637362637362637 0.1262135922330097 0.12605042016806722 0.125 0.125 0.11965811965811966 0.11931818181818182 0.11811023622047244 0.11764705882352941 0.11627906976744186 0.11627906976744186 0.11594202898550725 
39614 29265 3215 16917 27405 35740 29569 39876 7435 27699 26611 28200 33892 4516 12223 ,0.14953271028037382 0.14678899082568808 0.14432989690721648 0.1388888888888889 0.1322314049586777 0.12931034482758622 0.12903225806451613 0.12844036697247707 0.12781954887218044 0.1262135922330097 0.12605042016806722 0.12605042016806722 0.12582781456953643 0.125 0.125 
37916 14201 29539 13635 35585 25716 6515 27902 13232 3194 20997 3605 19240 21590 21586 ,0.12582781456953643 0.1256544502617801 0.12060301507537688 0.11949685534591195 0.11894273127753303 0.11801242236024845 0.11515151515151516 0.1144578313253012 0.11363636363636363 0.11320754716981132 0.11299435028248588 0.11229946524064172 0.1111111111111111 0.1111111111111111 0.11052631578947368 
17882 30390 24557 34859 2919 2525 13009 4227 9011 25382 36424 17359 18229 7355 4841 ,0.12554112554112554 0.12413793103448276 0.12206572769953052 0.12173913043478261 0.1206896551724138 0.12053571428571429 0.12043795620437957 0.12 0.11965811965811966 0.11877394636015326 0.11855670103092783 0.11851851851851852 0.11827956989247312 0.11805555555555555 0.11790393013100436 
2884 31748 12964 1077 22690 16489 6969 32157 20335 20848 29142 3135 4684 30866 2578 ,0.18823529411764706 0.12396694214876033 0.1232876712328767 0.12234042553191489 0.11347517730496454 0.11304347826086956 0.1111111111111111 0.1111111111111111 0.10964912280701754 0.10900473933649289 0.10857142857142857 0.10833333333333334 0.10687022900763359 0.10434782608695652 0.104 
10483 10937 14985 18485 21598 28410 33007 24226 15454 30414 32361 31824 15092 29258 39289 ,0.12403100775193798 0.12179487179487179 0.12 0.12 0.11965811965811966 0.11764705882352941 0.11650485436893204 0.11627906976744186 0.1134020618556701 0.11320754716981132 0.11320754716981132 0.11274509803921569 0.1111111111111111 0.1111111111111111 0.11009174311926606 
5387 5003 28331 32807 23742 3339 30356 2036 4018 21025 17191 15310 15491 21327 6139 ,0.12307692307692308 0.1206896551724138 0.10989010989010989 0.1076923076923077 0.1044776119402985 0.1038961038961039 0.1038961038961039 0.10344827586206896 0.10126582278481013 0.09876543209876543 0.09836065573770492 0.0967741935483871 0.0967741935483871 0.0963855421686747 0.09433962264150944 
26032 15616 2349 20976 29455 38749 14947 16068 16287 11612 34850 27378 8237 18963 34642 ,0.1415929203539823 0.14093959731543623 0.13333333333333333 0.13114754098360656 0.13043478260869565 0.12844036697247707 0.1282051282051282 0.1271186440677966 0.12686567164179105 0.12605042016806722 0.12598425196850394 0.12582781456953643 0.125 0.125 0.125 
11359 39645 9749 33966 200 7704 35766 31203 22852 3253 20305 15686 31508 2919 39745 ,0.15966386554621848 0.15246636771300448 0.14788732394366197 0.14625850340136054 0.14603174603174604 0.1459227467811159 0.14427860696517414 0.14351851851851852 0.14285714285714285 0.14225941422594143 0.14213197969543148 0.14195583596214512 0.14186851211072665 0.14163090128755365 0.14150943396226415 
29156 23706 35408 24941 30390 5283 36660 26091 10292 17561 4226 13489 31470 33065 28370 ,0.12290502793296089 0.11353711790393013 0.11353711790393013 0.11158798283261803 0.11152416356877323 0.1111111111111111 0.11074918566775244 0.10877192982456141 0.10819672131147541 0.10683760683760683 0.10599078341013825 0.10588235294117647 0.10497237569060773 0.10476190476190476 0.10471204188481675 
21558 21720 22487 1687 38809 31874 16603 37805 24479 38927 6270 32886 4053 16852 4365 ,0.11428571428571428 0.109375 0.10784313725490197 0.10344827586206896 0.10344827586206896 0.10309278350515463 0.10236220472440945 0.1016949152542373 0.1 0.1 0.0990990990990991 0.09848484848484848 0.09836065573770492 0.09803921568627451 0.0975609756097561 
24933 35542 4092 39438 25355 34568 14325 38137 29311 7616 34927 714 4082 17994 34304 ,0.1188118811881188 0.11224489795918367 0.1076923076923077 0.10638297872340426 0.10576923076923077 0.10476190476190476 0.10227272727272728 0.10204081632653061 0.10101010101010101 0.1 0.09917355371900827 0.09782608695652174 0.0970873786407767 0.0970873786407767 0.09615384615384616 
9011 16434 23179 7891 1802 16311 27306 28118 20201 19869 36424 20691 14962 38495 39531 ,0.15611814345991562 0.15517241379310345 0.1519230769230769 0.15126050420168066 0.1509433962264151 0.15079365079365079 0.14981949458483754 0.14822546972860126 0.1470019342359768 0.14642857142857144 0.14591439688715954 0.14522058823529413 0.1447587354409318 0.1446886446886447 0.14442013129102846 
16141 25359 9848 31381 32334 28978 20344 8300 127 2278 14528 17669 25308 6518 39155 ,0.12698412698412698 0.12598425196850394 0.125 0.1232876712328767 0.12307692307692308 0.12258064516129032 0.12244897959183673 0.12080536912751678 0.11949685534591195 0.11940298507462686 0.11811023622047244 0.11794871794871795 0.11764705882352941 0.11678832116788321 0.11666666666666667 
27902 33134 1266 7209 16197 34732 12625 16799 13361 30053 2349 4356 26538 25431 26859 ,0.1417910447761194 0.13846153846153847 0.13821138211382114 0.13725490196078433 0.1357142857142857 0.13559322033898305 0.13372093023255813 0.13178294573643412 0.13043478260869565 0.13008130081300814 0.1297709923664122 0.1292517006802721 0.1292517006802721 0.12903225806451613 0.12844036697247707 
32857 6045 37326 33368 34536 6785 11564 6722 5201 10094 12209 14947 27727 2997 25945 ,0.17346938775510204 0.1694915254237288 0.16521739130434782 0.16326530612244897 0.16037735849056603 0.15841584158415842 0.15789473684210525 0.1568627450980392 0.15584415584415584 0.15178571428571427 0.15126050420168066 0.1509433962264151 0.14953271028037382 0.1485148514851485 0.1485148514851485 
37722 24922 1752 32523 4802 3161 296 476 26755 6500 9349 28957 2955 17354 2149 ,0.1262135922330097 0.125 0.12345679012345678 0.12087912087912088 0.12037037037037036 0.12 0.11956521739130435 0.11926605504587157 0.11764705882352941 0.11650485436893204 0.11650485436893204 0.11650485436893204 0.11627906976744186 0.11612903225806452 0.11570247933884298 
24777 33551 27068 27378 29304 10808 36875 12520 10006 6823 33738 18856 28985 20992 27635 ,0.13970588235294118 0.1357142857142857 0.13286713286713286 0.1320754716981132 0.12698412698412698 0.12598425196850394 0.12195121951219512 0.12142857142857143 0.12 0.11965811965811966 0.11764705882352941 0.1171875 0.1171875 0.11650485436893204 0.11428571428571428 
2414 1864 26474 24479 18231 20296 32857 10561 20868 27654 29726 34679 31263 34022 7566 ,0.1346153846153846 0.13157894736842105 0.13131313131313133 0.12871287128712872 0.1282051282051282 0.128 0.12727272727272726 0.12698412698412698 0.12337662337662338 0.12295081967213115 0.12280701754385964 0.1223021582733813 0.12195121951219512 0.12037037037037036 0.11851851851851852 
30147 36914 9854 33301 23546 168 23088 33458 27234 14296 35053 27970 28252 36319 12470 ,0.13793103448275862 0.13636363636363635 0.1347517730496454 0.13368983957219252 0.1320754716981132 0.13043478260869565 0.13043478260869565 0.12666666666666668 0.12650602409638553 0.12568306010928962 0.12558139534883722 0.125 0.125 0.125 0.1242603550295858 
21828 25589 30183 12420 26817 32713 34289 11568 9677 25686 32776 1030 1013 4185 27020 ,0.24311926605504589 0.2222222222222222 0.22043010752688172 0.21182266009852216 0.208955223880597 0.2062780269058296 0.18446601941747573 0.1776061776061776 0.1721311475409836 0.16666666666666666 0.16346153846153846 0.15178571428571427 0.15121951219512195 0.14666666666666667 0.14666666666666667 
9776 32825 17649 28601 18013 1876 30192 38810 12436 6166 31372 7522 27635 16174 8928 ,0.14056224899598393 0.14007782101167315 0.13989637305699482 0.13733905579399142 0.13357400722021662 0.13141025641025642 0.13122171945701358 0.13 0.12941176470588237 0.12931034482758622 0.12849162011173185 0.12828947368421054 0.12698412698412698 0.12692307692307692 0.12682926829268293 
2919 1555 15407 38861 29186 7847 1466 8004 34733 28357 20494 24515 8392 18229 36219 ,0.14285714285714285 0.1417910447761194 0.1417624521072797 0.14166666666666666 0.13978494623655913 0.1391304347826087 0.1386861313868613 0.13852813852813853 0.13807531380753138 0.1377952755905512 0.13733905579399142 0.13733905579399142 0.13730569948186527 0.1366906474820144 0.13636363636363635 
22718 9568 23706 31040 36901 26896 12098 38967 20704 25004 13569 25487 5567 39416 34640 ,0.1394422310756972 0.13903743315508021 0.13839285714285715 0.13471502590673576 0.13333333333333333 0.13253012048192772 0.13215859030837004 0.13076923076923078 0.12639405204460966 0.12560386473429952 0.1253731343283582 0.125 0.12454212454212454 0.12307692307692308 0.12290502793296089 
8005 14784 30773 36393 32375 14296 2278 22490 1834 17547 24368 26307 25342 28689 5126 ,0.1564625850340136 0.15447154471544716 0.15384615384615385 0.15217391304347827 0.1511627906976744 0.14917127071823205 0.14685314685314685 0.144 0.14367816091954022 0.14285714285714285 0.1419753086419753 0.14146341463414633 0.14124293785310735 0.140625 0.14012738853503184 
10817 18667 14883 1665 834 13165 10795 2116 1094 9411 38861 20279 38526 22490 20667 ,0.13725490196078433 0.13705583756345177 0.13471502590673576 0.1341991341991342 0.13286713286713286 0.13286713286713286 0.13194444444444445 0.13004484304932734 0.12837837837837837 0.1276595744680851 0.12755102040816327 0.12650602409638553 0.12643678160919541 0.12598425196850394 0.12582781456953643 
21625 5063 19971 3872 35572 12901 39942 37858 12650 22408 33386 13457 1370 13961 19379 ,0.13068181818181818 0.1282051282051282 0.12573099415204678 0.12334801762114538 0.1232876712328767 0.12131147540983607 0.12015503875968993 0.11888111888111888 0.1188118811881188 0.11875 0.1182108626198083 0.11801242236024845 0.11748633879781421 0.11728395061728394 0.1167192429022082 
1752 9883 14758 20378 6221 13347 36277 21498 11651 14354 32510 36557 36393 20769 22191 ,0.14285714285714285 0.13978494623655913 0.13953488372093023 0.13829787234042554 0.13636363636363635 0.13414634146341464 0.13402061855670103 0.13333333333333333 0.1326530612244898 0.13157894736842105 0.13043478260869565 0.13043478260869565 0.13 0.12903225806451613 0.12903225806451613 
29342 5069 1211 25735 8851 20997 37135 32120 12869 22580 9419 26030 7553 2849 4707 ,0.17647058823529413 0.17543859649122806 0.17391304347826086 0.17142857142857143 0.16853932584269662 0.16260162601626016 0.15841584158415842 0.1568627450980392 0.1559633027522936 0.1559633027522936 0.15517241379310345 0.15463917525773196 0.1523809523809524 0.15178571428571427 0.15053763440860216 
24060 33133 33832 2811 30898 8998 29565 34328 39963 8530 4201 16470 8153 35411 22191 ,0.1553398058252427 0.14432989690721648 0.1440677966101695 0.1414141414141414 0.1386861313868613 0.13513513513513514 0.1346153846153846 0.13291139240506328 0.1322314049586777 0.1320754716981132 0.12962962962962962 0.12871287128712872 0.12844036697247707 0.1276595744680851 0.12745098039215685 
35247 5078 6518 33658 34244 7209 18162 7049 11080 2414 36536 9411 10932 3704 6494 ,0.13541666666666666 0.13513513513513514 0.13513513513513514 0.12844036697247707 0.12844036697247707 0.12686567164179105 0.12631578947368421 0.1262135922330097 0.1259259259259259 0.125 0.125 0.12380952380952381 0.12359550561797752 0.12280701754385964 0.12264150943396226 
